Bin Id,Site,Year,Completeness,Redundancy,Strain heterogeneity,Genome size (Mbp), # contigs,GC,Domain,Phylum,Class,Order,Family,Genus,SJO_Jan 2016_10cm_MP02,SJO_Jan 2016_20cm_MP02,SJO_Jan 2016_10cm_MP15,SJO_Jan 2016_20cm_MP15,BVA_Feb 2016_10cm_MP05,BVA_Feb 2016_20cm_MP05,BVA_Feb 2016_10cm_MP12,BVA_Feb 2016_20cm_MP12,QUI_Feb 2016_10cm_MP05,QUI_Feb 2016_20cm_MP05,QUI_Feb 2016_10cm_MP10,QUI_Feb 2016_20cm_MP10,SJO_Jul 2015_20cm_MP02,SJO_Jul 2015_20cm_MP15,BVA_Aug 2015_20cm_MP10,BVA_Aug 2015_20cm_MP04,QUI_Oct 2015_10cm_MP10,QUI_Oct 2015_20cm_MP10,QUI_Oct 2015_10cm_MP05,QUI_Oct 2015_20cm_MP05,SJO_Oct 2015_20cm_MP02,SJO_Oct 2015_20cm_MP15,BVA_Oct 2015_20cm_MP06,BVA_Oct 2015_20cm_MP10,Average_Abundance_at_Site
0815_BV2_37,Buena Vista,15-Aug,81.09,6.81,23.81,3.895098,785,61.2,d__Bacteria,p__Bacteroidota,c__UBA10030,o__UBA10030,f__UBA6906,g__Fen-1273,,,,,,,,,,,,,,,2.137795404,5.037240662,,,,,,,,,3.587518033
0815_BV2_107_001,Buena Vista,15-Aug,82.27,3.69,100,2.430107,140,46.5,d__Bacteria,p__Nitrospirota,c__Thermodesulfovibrionia,o__Thermodesulfovibrionales,f__Dissulfurispiraceae,g__Fen-1308,,,,,,,,,,,,,,,19.22484502,14.42055853,,,,,,,,,16.82270178
0815_BV2_40_006,Buena Vista,15-Aug,87.27,8.38,15.38,2.638747,287,51.2,d__Bacteria,p__Nitrospirota,c__Thermodesulfovibrionia,o__Thermodesulfovibrionales,f__Dissulfurispiraceae,g__Fen-1308,,,,,,,,,,,,,,,9.388474512,4.103151929,,,,,,,,,6.745813221
1015_Q2_concoct.33,Quistococha,15-Oct,63.41,3.6,40,2.790546,642,66,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__SZUA-6,f__Fen-1364,g__Fen-1364,,,,,,,,,,,,,,,,,0.149230674,2.580696054,0.436300255,3.549037276,,,,,1.678816065
0815_BV2_40,Buena Vista,15-Aug,80.55,2.25,70,2.34325,249,63.5,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Rhodocyclaceae,g__Fen-999,,,,,,,,,,,,,,,4.16679486,2.746692693,,,,,,,,,3.456743777
1015_Q2_185,Quistococha,15-Oct,84.99,6.28,22.22,4.275466,529,62.4,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__GAS188,,,,,,,,,,,,,,,,,3.854708872,0.905360617,4.51960315,1.727794658,,,,,2.751866824
0116_SJ02_concoct.78,San Jorge,16-Jan,76.99,6.07,7.69,5.751525,668,59.3,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__GJ-E10,1.845794576,2.047245309,0.265812682,4.407493727,,,,,,,,,,,,,,,,,,,,,2.141586574
0116_SJ02_108,San Jorge,16-Jan,57.18,4.32,0,2.661694,898,66.8,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__GJ-E10,2.091257184,1.827318347,0.494275134,1.305016164,,,,,,,,,,,,,,,,,,,,,1.429466707
0116_SJ02_397,San Jorge,16-Jan,73.83,2.98,12.5,2.798849,666,63.8,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__GJ-E10,0.333786451,2.961445552,3.31531834,0.048267273,,,,,,,,,,,,,,,,,,,,,1.664704404
0116_SJ02_40_083,San Jorge,16-Jan,95.58,5.24,72.73,3.540145,468,60,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__GJ-E10,6.53313983,2.287968705,0.154248367,1.665314207,,,,,,,,,,,,,,,,,,,,,2.660167777
0715_SJ02_106,San Jorge,15-Jul,82.68,2.57,80,3.058679,482,60.4,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__GJ-E10,,,,,,,,,,,,,14.26689591,3.249428018,,,,,,,,,,,8.758161964
0715_SJ02_145,San Jorge,15-Jul,63,0.62,0,2.000235,489,62.4,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__GJ-E10,,,,,,,,,,,,,2.479277287,3.826070709,,,,,,,,,,,3.152673998
1015_Q2_concoct.190,Quistococha,15-Oct,86.94,3.68,70,3.174764,536,62.9,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__GJ-E10,,,,,,,,,,,,,,,,,0.153815042,3.791050582,1.093414405,13.2054245,,,,,4.560926132
1015_Q2_482,Quistococha,15-Oct,93.45,0.74,50,3.290274,519,63.8,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__GJ-E10,,,,,,,,,,,,,,,,,0.50815852,7.941735852,0.929695805,9.929532915,,,,,4.827280773
1015_SJ02_concoct_51,San Jorge,15-Oct,83.92,4.05,75,2.874066,744,60.3,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__GJ-E10,,,,,,,,,,,,,,,,,,,,,0.660580964,46.54322604,,,23.6019035
1015_BV01_concoct_7,Buena Vista,15-Oct,57.43,2.19,25,2.566959,607,67.3,d__Bacteria,p__Acidobacteriota,c__Thermoanaerobaculia,o__UBA5066,f__Gp7-AA6,g__Gp7-AA6,,,,,,,,,,,,,,,,,,,,,,,3.290744113,3.209068148,3.249906131
1015_Q2.40_131,Quistococha,15-Oct,93.64,2.14,33.33,3.756627,366,68.5,d__Bacteria,p__Acidobacteriota,c__Thermoanaerobaculia,o__UBA5066,f__Gp7-AA6,g__Gp7-AA6,,,,,,,,,,,,,,,,,3.18826983,4.69981474,1.629143246,1.020185906,,,,,2.634353431
1015_Q2_301,Quistococha,15-Oct,77.34,5.56,42.86,3.112939,877,69.8,d__Bacteria,p__Acidobacteriota,c__Thermoanaerobaculia,o__UBA5066,f__Gp7-AA6,g__Gp7-AA6,,,,,,,,,,,,,,,,,3.804899167,1.01255631,4.542768584,2.016057586,,,,,2.844070412
1015_Q2_309,Quistococha,15-Oct,96.55,2.43,33.33,3.618135,416,68.2,d__Bacteria,p__Acidobacteriota,c__Thermoanaerobaculia,o__UBA5066,f__Gp7-AA6,g__Gp7-AA6,,,,,,,,,,,,,,,,,6.192040105,6.155590927,6.064308259,4.370106224,,,,,5.695511379
0815_BV2_72,Buena Vista,15-Aug,78.48,9.81,8,2.804238,743,53.6,d__Bacteria,p__Nitrospirota,c__UBA9217,o__UBA9217,f__UBA9217,g__GWC2-56-14,,,,,,,,,,,,,,,3.68755039,2.749899201,,,,,,,,,3.218724796
1015_BV01_concoct_20,Buena Vista,15-Oct,60.78,7.38,0,2.351354,968,34.7,d__Bacteria,p__Bacteroidota,c__Ignavibacteria,o__Ignavibacteriales,f__Ignavibacteriaceae,g__IGN2,,,,,,,,,,,,,,,,,,,,,,,2.912816359,1.805685739,2.359251049
0116_SJ02_298,San Jorge,16-Jan,71.59,3.69,75,3.464494,884,63.8,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidoferrales,f__UBA7541,g__JAAFGT01,4.48807981,3.216250084,8.357841175,0.525270368,,,,,,,,,,,,,,,,,,,,,4.146860359
0116_SJ02_40_014,San Jorge,16-Jan,51.7,3.22,33.33,2.197108,732,64.1,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidoferrales,f__UBA7541,g__JAAFGT01,18.99190401,8.051799584,1.003742171,3.230693569,,,,,,,,,,,,,,,,,,,,,7.819534834
1015_SJ02_40_019,San Jorge,15-Oct,92.85,2.42,30,4.87175,378,68.2,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__ATCC43930,f__Stellaceae,g__JAATGI01,,,,,,,,,,,,,,,,,,,,,1.514196193,18.92869241,,,10.2214443
1015_Q2_42,Quistococha,15-Oct,54.3,9.47,53.85,2.817557,978,52.5,d__Bacteria,p__Acidobacteriota,c__UBA6911,o__UBA6911,f__UBA6911,g__JAAYAM01,,,,,,,,,,,,,,,,,1.628103346,1.725350757,0.667302811,1.152466977,,,,,1.293305973
0815_BV2_20,Buena Vista,15-Aug,93.27,2.73,0,2.316295,107,53.9,d__Bacteria,p__Nitrospirota,c__Thermodesulfovibrionia,o__Thermodesulfovibrionales,f__Dissulfurispiraceae,g__JAAYUK01,,,,,,,,,,,,,,,7.937285065,5.265114792,,,,,,,,,6.601199929
1015_Q2_concoct.254,Quistococha,15-Oct,72.31,3.62,30,6.294849,1326,70.3,d__Bacteria,p__Myxococcota,c__Polyangia,o__Haliangiales,f__Haliangiaceae,g__JABFXX01,,,,,,,,,,,,,,,,,0.746972561,5.015273272,0.824274966,2.265911693,,,,,2.213108123
0216_BV02_MP05.2,Buena Vista,16-Feb,64.7,5.08,57.14,1.255233,362,41.2,d__Bacteria,p__Nitrospirota,c__Thermodesulfovibrionia,o__Thermodesulfovibrionales,f__SM23-35,g__JACAEY01,,,,,4.754128227,15.42784528,,,,,,,,,,,,,,,,,,,10.09098675
0216_BV02_MP05.38,Buena Vista,16-Feb,89.79,3.46,37.5,1.895256,466,40.3,d__Bacteria,p__Nitrospirota,c__Thermodesulfovibrionia,o__Thermodesulfovibrionales,f__SM23-35,g__JACAEY01,,,,,1.277993664,8.899534879,,,,,,,,,,,,,,,,,,,5.088764271
1015_Q2_145,Quistococha,15-Oct,63.5,1.98,100,0.724679,123,45.1,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__UBA10212,g__JACDFN01,,,,,,,,,,,,,,,,,4.661120471,0.289820124,3.056422422,0.354611065,,,,,2.090493521
0216_QUI02_217,Quistococha,16-Feb,60.87,4.48,57.14,2.047569,605,53.2,d__Bacteria,p__Bacteroidota,c__UBA10030,o__UBA10030,f__SZUA-254,g__JACOSX01,,,,,,,,,3.395662289,0.042397741,1.775969979,0.916240815,,,,,,,,,,,,,1.532567706
1015_Q2_concoct.219,Quistococha,15-Oct,75.82,1.94,0,3.732318,407,67.8,d__Bacteria,p__Desulfobacterota_B,c__Binatia,o__JACPRU01,f__JACPRU01,g__JACPRU01,,,,,,,,,,,,,,,,,3.368680523,1.094235279,2.644881342,0.957283727,,,,,2.016270218
0216_QUI02_40_378,Quistococha,16-Feb,57.6,2.78,25,1.348557,498,50.5,d__Bacteria,p__Nitrospirota,c__Nitrospiria,o__JACQBW01,f__JACQBW01,g__JACQBW01,,,,,,,,,3.674174811,0.025166996,0.929004858,0.651376935,,,,,,,,,,,,,1.3199309
1015_Q2.40_526,Quistococha,15-Oct,51.53,0.91,100,1.136903,459,53.8,d__Bacteria,p__Nitrospirota,c__Nitrospiria,o__JACQBW01,f__JACQBW01,g__JACQBW01,,,,,,,,,,,,,,,,,0.690526799,2.687461564,0.485640098,0.975518954,,,,,1.209786854
0216_BV02_MP05.17,Buena Vista,16-Feb,76.53,5.81,33.33,2.172493,572,57.3,d__Bacteria,p__Nitrospirota,c__Nitrospiria,o__JACQBZ01,f__JACQBZ01,g__JACQBZ01,,,,,4.665817784,2.982832171,,,,,,,,,,,,,,,,,,,3.824324978
0216_BV02_MP12.3,Buena Vista,16-Feb,74.68,2.73,0,1.788314,110,56.3,d__Bacteria,p__Nitrospirota,c__Nitrospiria,o__JACQBZ01,f__JACQBZ01,g__JACQBZ01,,,,,,,6.365766925,9.653342803,,,,,,,,,,,,,,,,,8.009554864
1015_Q2_163,Quistococha,15-Oct,84.07,4.18,12.5,5.732225,1037,67.4,d__Bacteria,p__Planctomycetota,c__MHYJ01,o__MHYJ01,f__JACPRB01,g__JACQFK01,,,,,,,,,,,,,,,,,0.38426909,0.344450926,0.820282224,5.546320775,,,,,1.773830754
1015_Q2_BMC3C.396,Quistococha,15-Oct,73.39,2.19,40,3.436005,433,51.5,d__Bacteria,p__Desulfobacterota,c__Desulfomonilia,o__Desulfomonilales,f__Desulfomonilaceae,g__JACRDG01,,,,,,,,,,,,,,,,,3.136885225,1.742732381,1.857341288,1.754701924,,,,,2.122915205
0116_SJ02_442,San Jorge,16-Jan,61.92,3.76,42.86,0.936305,305,62.4,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__JACTUA01,g__JACTUA01,0.02268297,0.077883218,6.091155111,0.017564646,,,,,,,,,,,,,,,,,,,,,1.552321486
1015_BV01_107_079,Buena Vista,15-Oct,62.53,9.88,61.11,1.252353,458,65.1,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__JACTUA01,g__JACTUA01,,,,,,,,,,,,,,,,,,,,,,,4.176933115,2.753760304,3.46534671
1015_Q2.40_063,Quistococha,15-Oct,68.71,7.07,33.33,1.277033,501,65.9,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__JACTUA01,g__JACTUA01,,,,,,,,,,,,,,,,,5.941287318,0.934541104,4.050910827,1.806629134,,,,,3.183342096
0116_SJ02_436,San Jorge,16-Jan,58.98,3.64,16.67,3.13581,913,53.8,d__Bacteria,p__Desulfobacterota_G,c__Syntrophorhabdia,o__Syntrophorhabdales,f__WCHB1-27,g__JADGQN01,2.398128352,2.072343964,0.500610766,0.814218899,,,,,,,,,,,,,,,,,,,,,1.446325495
1015_Q2_concoct.153,Quistococha,15-Oct,56.14,6.9,0,4.34261,340,53.8,d__Bacteria,p__Desulfobacterota_G,c__Syntrophorhabdia,o__Syntrophorhabdales,f__WCHB1-27,g__JADGQN01,,,,,,,,,,,,,,,,,2.737028264,1.380274057,2.528464082,1.185454984,,,,,1.957805347
0116_SJ02_350,San Jorge,16-Jan,50.54,0.81,0,1.862101,558,66.6,d__Bacteria,p__Myxococcota,c__Myxococcia,o__Myxococcales,f__Myxococcaceae,g__JADGRA01,0.21986257,0.743558062,0.179112776,4.300356583,,,,,,,,,,,,,,,,,,,,,1.360722498
0216_QUI02_141,Quistococha,16-Feb,76.03,2.17,20,3.390069,627,72.1,d__Bacteria,p__Myxococcota,c__Myxococcia,o__Myxococcales,f__Myxococcaceae,g__JADGRA01,,,,,,,,,6.729545962,0.407036553,0.686436308,0.728109214,,,,,,,,,,,,,2.137782009
0815_BV2_concoct_15,Buena Vista,15-Aug,70.57,1.01,100,2.978501,524,71.7,d__Bacteria,p__Myxococcota,c__Myxococcia,o__Myxococcales,f__Myxococcaceae,g__JADGRA01,,,,,,,,,,,,,,,1.769395729,5.485023517,,,,,,,,,3.627209623
1015_Q2_concoct.245,Quistococha,15-Oct,68.59,4.83,71.43,3.47098,1121,67.7,d__Bacteria,p__Myxococcota,c__Myxococcia,o__Myxococcales,f__Myxococcaceae,g__JADGRA01,,,,,,,,,,,,,,,,,2.578054085,0.457227984,2.206249025,1.014896818,,,,,1.564106978
1015_Q2_249,Quistococha,15-Oct,91.61,3.1,0,3.788567,722,72.3,d__Bacteria,p__Myxococcota,c__Myxococcia,o__Myxococcales,f__Myxococcaceae,g__JADGRA01,,,,,,,,,,,,,,,,,9.943406916,6.591667263,10.54126736,4.989818838,,,,,8.016540094
1015_Q2_206,Quistococha,15-Oct,89.01,3.4,25,3.423479,517,67,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__GWC2-71-9,g__JADJOM01,,,,,,,,,,,,,,,,,6.525302656,6.210443032,3.562899595,2.655363343,,,,,4.738502157
1015_Q2_67,Quistococha,15-Oct,71.45,5.65,87.5,3.045098,762,55.9,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__Dehalococcoidales,f__UBA2162,g__JAENIS01,,,,,,,,,,,,,,,,,2.836808465,5.283788119,2.337546521,3.053228399,,,,,3.377842876
0116_SJ02_40_045,San Jorge,16-Jan,72.36,9.93,66.67,4.007462,921,56.7,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__SbA1,g__JAFAGX01,10.19645087,3.11144499,3.237559824,2.228257626,,,,,,,,,,,,,,,,,,,,,4.693428328
0116_SJ02_513,San Jorge,16-Jan,64.41,3.85,60,3.674336,807,56.4,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__SbA1,g__JAFAGX01,6.194008524,3.827427281,0.827969921,5.92810082,,,,,,,,,,,,,,,,,,,,,4.194376637
0116_SJ02_596,San Jorge,16-Jan,57.88,1.71,50,3.880764,672,56.7,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__SbA1,g__JAFAGX01,2.700008618,3.487603688,5.801286674,0.141271844,,,,,,,,,,,,,,,,,,,,,3.032542706
0715_SJ02_107_011,San Jorge,15-Jul,95.28,4.08,50,4.466894,634,56.2,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__SbA1,g__JAFAGX01,,,,,,,,,,,,,15.00685932,34.35097903,,,,,,,,,,,24.67891918
0715_SJ02_136,San Jorge,15-Jul,70.83,5.56,14.29,4.299667,644,55.6,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__SbA1,g__JAFAGX01,,,,,,,,,,,,,0.633229344,7.524052059,,,,,,,,,,,4.078640702
0715_SJ02_40_001,San Jorge,15-Jul,67.56,2.56,33.33,3.630443,874,57.2,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__SbA1,g__JAFAGX01,,,,,,,,,,,,,48.37008946,38.81336717,,,,,,,,,,,43.59172832
1015_Q2.107_183,Quistococha,15-Oct,78.37,5.18,71.43,5.695102,1665,58.1,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__SbA1,g__JAFAGX01,,,,,,,,,,,,,,,,,2.303611681,10.52468057,4.482684685,15.56890268,,,,,8.219969904
1015_Q2.40_038,Quistococha,15-Oct,85.42,8.4,18.18,5.456806,1193,55,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__SbA1,g__JAFAGX01,,,,,,,,,,,,,,,,,7.689493014,6.462353185,7.87612848,3.643894672,,,,,6.417967338
1015_Q2.40_072,Quistococha,15-Oct,92.47,7.92,46.15,5.847635,986,56,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__SbA1,g__JAFAGX01,,,,,,,,,,,,,,,,,4.856682554,12.73163697,8.975694093,20.33285837,,,,,11.724218
1015_Q2_123,Quistococha,15-Oct,64.89,1.99,100,3.261111,729,58.1,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__SbA1,g__JAFAGX01,,,,,,,,,,,,,,,,,5.898236407,5.739099941,2.43322386,3.360054588,,,,,4.357653699
1015_Q2_563,Quistococha,15-Oct,96.12,8.41,46.67,6.810077,473,58.3,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__SbA1,g__JAFAGX01,,,,,,,,,,,,,,,,,4.891094535,7.45299204,4.238504852,3.953736983,,,,,5.134082103
1015_SJ02_40_100,San Jorge,15-Oct,94.26,3.47,16.67,6.469863,1291,57.6,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__SbA1,g__JAFAGX01,,,,,,,,,,,,,,,,,,,,,13.00709203,6.527855227,,,9.767473629
1015_SJ02_40_233,San Jorge,15-Oct,60.2,0.85,0,3.789804,330,58.4,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__SbA1,g__JAFAGX01,,,,,,,,,,,,,,,,,,,,,45.40904756,0.145985617,,,22.77751659
0116_SJ02_354,San Jorge,16-Jan,94.54,1.73,66.67,3.339754,172,64.1,d__Bacteria,p__Desulfobacterota_B,c__Binatia,o__Binatales,f__Binataceae,g__JAFAHS01,6.630644364,11.52981759,13.21832343,0.183557706,,,,,,,,,,,,,,,,,,,,,7.890585773
1015_Q2_334,Quistococha,15-Oct,87,3.24,60,2.197338,200,64.4,d__Bacteria,p__Eremiobacterota,c__Eremiobacteria,o__Eremiobacterales,f__Eremiobacteraceae,g__JAFANK01,,,,,,,,,,,,,,,,,5.077249315,0.772662629,5.127668398,2.418357511,,,,,3.348984463
0216_BV02_MP05.61,Buena Vista,16-Feb,92,4.95,7.69,3.734644,538,60.1,d__Bacteria,p__Desulfobacterota,c__Syntrophobacteria,o__BM002,f__BM002,g__JAGFXI01,,,,,6.325314138,7.433581057,,,,,,,,,,,,,,,,,,,6.879447598
0815_BV2_35,Buena Vista,15-Aug,85.6,2.44,75,1.529757,229,36.4,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobacterium_A,,,,,,,,,,,,,,,4.203832573,5.794781835,,,,,,,,,4.999307204
1015_Q2_481,Quistococha,15-Oct,60.85,2.44,25,1.304633,319,34.1,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobacterium_B,,,,,,,,,,,,,,,,,2.577746344,0.09095944,2.706310081,0.444317589,,,,,1.454833364
0815_BV2_107_008,Buena Vista,15-Aug,51.26,9.65,36.36,0.853885,310,33.8,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobacterium_D,,,,,,,,,,,,,,,1.987130098,5.5771558,,,,,,,,,3.782142949
0815_BV2_61,Buena Vista,15-Aug,92.32,0.97,100,3.131552,185,52.1,d__Archaea,p__Halobacteriota,c__Methanocellia,o__Methanocellales,f__Methanocellaceae,g__Methanocella_A,,,,,,,,,,,,,,,4.64417963,8.896090174,,,,,,,,,6.770134902
0216_QUI02_174,Quistococha,16-Feb,66.97,2.64,83.33,1.558388,316,59.6,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanoregulaceae,g__Methanoregula,,,,,,,,,3.91802974,0.039954216,2.804929639,1.97900592,,,,,,,,,,,,,2.185479879
0216_QUI02_52,Quistococha,16-Feb,77.65,2.78,80,1.922,272,55.6,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanoregulaceae,g__Methanoregula,,,,,,,,,7.062158377,0.092013227,1.031092481,1.938105171,,,,,,,,,,,,,2.530842314
0715_SJ02_concoct_113,San Jorge,15-Jul,68.29,9.66,28.57,1.659526,535,46.1,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanoregulaceae,g__Methanoregula,,,,,,,,,,,,,1.17118072,4.214555158,,,,,,,,,,,2.692867939
0715_SJ02_107_175,San Jorge,15-Jul,51.43,8.67,52.38,1.443839,485,57.3,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanoregulaceae,g__Methanoregula,,,,,,,,,,,,,0.686347991,5.319837865,,,,,,,,,,,3.003092928
0815_BV2_48,Buena Vista,15-Aug,67.41,3.97,0,1.568467,353,55.7,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanoregulaceae,g__Methanoregula,,,,,,,,,,,,,,,12.28684223,9.168455924,,,,,,,,,10.72764908
0815_BV2_67,Buena Vista,15-Aug,67.12,4.93,55.56,2.034001,489,59.9,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanoregulaceae,g__Methanoregula,,,,,,,,,,,,,,,8.133802059,0.900465741,,,,,,,,,4.5171339
1015_BV01_10,Buena Vista,15-Oct,73.57,4.07,64.29,2.261062,624,63.1,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methyloligellaceae,g__Methyloceanibacter,,,,,,,,,,,,,,,,,,,,,,,2.895991901,6.756244785,4.826118343
1015_Q2_350,Quistococha,15-Oct,84.35,4.53,58.82,2.024244,464,63.1,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methyloligellaceae,g__Methyloceanibacter,,,,,,,,,,,,,,,,,2.566876336,3.058131247,3.733968325,1.199793187,,,,,2.639692274
1015_SJ02_27,San Jorge,15-Oct,57.8,1.41,33.33,1.901335,337,59,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylocella,,,,,,,,,,,,,,,,,,,,,12.56613158,0.227583796,,,6.396857688
0715_SJ02_107_060,San Jorge,15-Jul,76.03,2.2,23.53,3.035834,329,65.8,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylocystis,,,,,,,,,,,,,5.226233034,10.78785065,,,,,,,,,,,8.007041842
0715_SJ02_121,San Jorge,15-Jul,90.04,4.87,34.48,3.756055,550,64.4,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylocystis,,,,,,,,,,,,,12.78742424,7.497877941,,,,,,,,,,,10.14265109
0116_SJ02_concoct.231,San Jorge,16-Jan,68.89,2.04,0,2.313135,720,48,d__Bacteria,p__Desulfobacterota,c__Desulfomonilia,o__UBA1062,f__UBA1062,g__MWEI01,0.346765066,0.864226106,0.600784823,3.515156047,,,,,,,,,,,,,,,,,,,,,1.331733011
0116_SJ02_40_084,San Jorge,16-Jan,84.87,4.87,70.97,4.247692,1129,65.4,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,6.18355149,6.566203791,2.41646929,1.28276297,,,,,,,,,,,,,,,,,,,,,4.112246885
1015_Q2_concoct.199,Quistococha,15-Oct,59.54,4.42,46.88,2.956956,559,66.2,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,,,,,,,,,,,,,,,,,2.67733082,2.911619392,3.020806985,1.388992772,,,,,2.499687492
1015_Q2.40_111,Quistococha,15-Oct,97.5,6.59,30.43,5.991541,691,65.7,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,,,,,,,,,,,,,,,,,3.548365976,4.506998702,5.950147005,6.295659896,,,,,5.075292895
1015_Q2_404,Quistococha,15-Oct,82.46,5.78,58.33,4.523107,825,65.1,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,,,,,,,,,,,,,,,,,3.4916985,3.633592882,5.598855569,2.523029845,,,,,3.811794199
1015_SJ02_concoct_148,San Jorge,15-Oct,85.56,4.6,66.67,4.630222,1163,65.3,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,,,,,,,,,,,,,,,,,,,,,6.026693939,6.473440721,,,6.25006733
0216_BV02_MP12.25,Buena Vista,16-Feb,54.21,7.88,50,0.776941,190,35.3,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosotalea,,,,,,,4.312559454,3.741553215,,,,,,,,,,,,,,,,,4.027056335
1015_BV01_42,Buena Vista,15-Oct,65.7,2.17,80,0.776304,212,37.5,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosotalea,,,,,,,,,,,,,,,,,,,,,,,2.781372752,3.158245219,2.969808986
